"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000113140.10"	-5.84597040987345	7.88222831992361	4.78862580862729e-15	5.06005075976444e-12
"ENSG00000257345.2"	-6.06273778829719	6.45186875495644	4.85393816331125e-15	5.06005075976444e-12
"ENSG00000169083.16"	7.8247531636725	5.29214261286721	5.03291731869244e-15	5.15123662947551e-12
"ENSG00000131482.9"	9.05416847712134	6.51182880538997	5.1312832311464e-15	5.15813083805222e-12
"ENSG00000117525.13"	-8.03018352417198	5.32198033083373	6.99298582493629e-15	6.90624826391471e-12
"ENSG00000066813.14"	8.6670807111639	6.18144947539055	7.23886870600289e-15	7.02582131150036e-12
"ENSG00000174792.10"	-7.26075051124522	5.97022424129108	7.43542001284354e-15	7.09427286072883e-12
"ENSG00000026025.15"	-5.79321021141844	7.74953186696215	8.07983600524844e-15	7.58063680405751e-12
"ENSG00000123843.12"	5.79127775501069	8.34850108474054	1.06266148305481e-14	9.80341836696479e-12
"ENSG00000120937.8"	-6.78550247733706	6.19817844946385	1.07972916481946e-14	9.80341836696479e-12
"ENSG00000081051.7"	-7.39789897904621	15.5629401299397	1.23773926598526e-14	1.10596915079537e-11
"ENSG00000013588.7"	-8.04618381151723	7.69734162558459	1.3256869025279e-14	1.16479652670404e-11
"ENSG00000163191.5"	-5.91790621289141	8.08840310137319	1.34495895112647e-14	1.16479652670404e-11
"ENSG00000012504.13"	7.07460922591932	6.0704926220115	1.37074741322017e-14	1.1691436989758e-11
"ENSG00000205362.11"	8.56086536638259	7.80306804760124	1.62921686735189e-14	1.36885828528119e-11
"ENSG00000164171.10"	-10.4357618933455	5.04279927642755	1.76311661466268e-14	1.45957534690009e-11
"ENSG00000113249.12"	-8.00924910097586	5.30167208749632	1.93096692750004e-14	1.57536117753275e-11
"ENSG00000078401.6"	-6.98382567423967	6.09070969023603	2.19327720984439e-14	1.76380219962529e-11
"ENSG00000162267.12"	7.43406063142299	7.27819741101253	2.43815089389464e-14	1.91223076766014e-11
"ENSG00000148677.6"	-6.69935979016162	10.4186313105972	2.44578571530261e-14	1.91223076766014e-11
"ENSG00000113361.12"	-7.51680569160885	5.69022754550041	2.97013860227042e-14	2.29038373065218e-11
"ENSG00000145287.10"	-6.49940142269697	6.15558813639094	3.29991382373238e-14	2.51029795782928e-11
"ENSG00000176919.11"	10.763572087927	5.34133947853691	3.35912342280449e-14	2.52126846453245e-11
"ENSG00000143278.3"	11.0427989888259	5.61789044803251	3.91987577704078e-14	2.90344167259153e-11
"ENSG00000059804.15"	-5.75822235654802	8.00152768665268	4.6783856890196e-14	3.42026448820753e-11
"ENSG00000007062.11"	-5.6782233842432	6.33391327145939	8.24169730896861e-14	5.94807521299705e-11
"ENSG00000140284.10"	7.008010313287	6.38769894643437	8.84853715372966e-14	6.30519875942916e-11
"ENSG00000103569.9"	11.3418966767369	5.91466768987579	9.75196547613268e-14	6.86209240684922e-11
"ENSG00000129596.4"	7.86966183423656	5.78176789862976	1.19083977730318e-13	8.27604241774416e-11
"ENSG00000154262.12"	8.6268023448729	5.30299892518603	1.25034727169155e-13	8.58363402016247e-11
"ENSG00000153822.13"	-6.40028475395733	5.52229244456329	1.38200461497161e-13	9.37315491452975e-11
"ENSG00000198650.10"	8.40709430387491	7.64256155423956	1.41347125722612e-13	9.47244493845598e-11
"ENSG00000198832.10"	-5.97719912530251	5.86459941197092	1.57221610831038e-13	1.04123248688372e-10
"ENSG00000167798.17"	10.6479353815055	7.24132325392777	1.62587920439501e-13	1.0642513727094e-10
"ENSG00000203857.9"	-6.65767922842607	8.89011008978145	1.87828554268642e-13	1.2153371040741e-10
"ENSG00000115380.19"	-7.88381305426437	5.17214298125516	2.07876851062142e-13	1.32977404282286e-10
"ENSG00000132840.9"	9.49002989694575	6.16223309019911	2.37347536130474e-13	1.50123650015649e-10
"ENSG00000232774.7"	-7.08206228959081	5.25995575026733	2.57161117963423e-13	1.6084856459461e-10
"ENSG00000147862.15"	7.23435125678342	5.16065899823073	2.69937063471977e-13	1.65503357130314e-10
"ENSG00000144481.16"	7.77004973946977	4.45542702438934	2.70483165864119e-13	1.65503357130314e-10
"ENSG00000085563.14"	9.86613315189911	4.45728928659757	2.77475524870523e-13	1.67956233564907e-10
"ENSG00000170458.13"	6.83951991470048	4.86007392503275	2.8846868271954e-13	1.72752846343947e-10
"ENSG00000197747.8"	-5.55720491155404	10.1929515649657	3.24201527593683e-13	1.92108174661381e-10
"ENSG00000125144.13"	8.45628735596135	9.60896401459283	3.83042491607319e-13	2.24610531042196e-10
"ENSG00000113657.12"	-5.98357954282471	5.67113740179026	4.39528964934914e-13	2.55076330134857e-10
"ENSG00000233056.2"	-7.07986624318944	5.26504514600905	5.43883954285497e-13	3.12416933046872e-10
"ENSG00000171345.13"	-6.77988057248689	5.49470194479746	5.69853015359223e-13	3.24027634278957e-10
"ENSG00000157131.10"	7.72619613702895	7.05330449315084	6.35002355681054e-13	3.57461876083536e-10
"ENSG00000149131.15"	5.5503793545267	7.66497148272446	6.61885088318982e-13	3.68905913631094e-10
"ENSG00000109321.10"	-6.30092379333738	5.7142418117264	6.76611614542554e-13	3.73416643308274e-10
"ENSG00000162599.15"	5.52052740282604	5.28300668629149	7.33692684422187e-13	4.00987983341535e-10
"ENSG00000115221.10"	-6.22213392594521	5.64994218224023	7.45673105614089e-13	4.03617078214749e-10
"ENSG00000150687.11"	-5.31963763413644	7.01509793515658	7.55604538343264e-13	4.0509758359007e-10
"ENSG00000198692.9"	7.03001583104025	5.64797391421741	7.93424581251372e-13	4.21360848607391e-10
"ENSG00000005471.15"	9.64530967338006	6.2461570913805	8.75191876413722e-13	4.60440899990259e-10
"ENSG00000106541.11"	-10.182915473374	4.79780668633068	8.87556707435018e-13	4.6262249751518e-10
"ENSG00000164089.8"	9.92363024531818	4.51372498041348	9.06159591210506e-13	4.67985705211129e-10
"ENSG00000164294.13"	-5.46065070364542	5.55905635386219	1.06921230294035e-12	5.47174256085648e-10
"ENSG00000134202.10"	-4.88725669777383	7.08308005369026	1.80762218071723e-12	9.1672500377581e-10
"ENSG00000105974.11"	-5.43703200793639	6.32477721367392	2.05791216921907e-12	1.03433972983794e-09
"ENSG00000091986.15"	-5.89575992233974	5.57567261170843	2.20301042812867e-12	1.09746961089068e-09
"ENSG00000075239.13"	5.28965506099353	8.66519182849732	2.30061849767391e-12	1.13604137797857e-09
"ENSG00000047457.13"	6.52123503776965	9.16649032823459	2.75163952632251e-12	1.34693951178498e-09
"ENSG00000080910.11"	9.83118394405255	10.0118458771155	3.0310716530919e-12	1.47093203937502e-09
"ENSG00000187498.14"	-6.01977212624369	5.15583324012787	3.45687074897681e-12	1.66322756471924e-09
"ENSG00000114529.12"	-9.89310170317958	4.5196022011606	3.80952665423232e-12	1.81737020293814e-09
"ENSG00000124107.5"	7.82568375729529	5.89606341714423	4.01284330642853e-12	1.89544290468264e-09
"ENSG00000128849.10"	5.43308756245894	5.30965309942494	4.04052277480179e-12	1.89544290468264e-09
"ENSG00000168509.19"	9.59722291172651	4.19454461109054	4.85877048200502e-12	2.26045261771495e-09
"ENSG00000083807.9"	6.68246423509849	5.38679468998082	5.10593857949056e-12	2.3559721348792e-09
"ENSG00000138271.5"	-7.77903262283008	5.07058539347931	5.6574401249583e-12	2.58922176385591e-09
"ENSG00000135046.13"	-5.72761733252116	8.42787619557015	6.11524457527371e-12	2.77617308770873e-09
"ENSG00000163171.7"	-8.11020149380947	5.40192372211209	7.35712794774141e-12	3.31323842849766e-09
"ENSG00000182718.16"	-5.02155194565027	11.0829418452552	7.6018092646443e-12	3.39625911852874e-09
"ENSG00000137561.4"	9.88257880341956	4.47313217807792	9.44384043692358e-12	4.18600086390346e-09
"ENSG00000123104.11"	5.051282880008	5.59269569202366	9.97031898564706e-12	4.37169063388235e-09
"ENSG00000275152.4"	12.2478766721831	6.81596420772922	1.00286697590435e-11	4.37169063388235e-09
"ENSG00000166033.11"	8.00873363262833	4.63517112457787	1.00957451620043e-11	4.37169063388235e-09
"ENSG00000122870.11"	-9.80971467332906	4.43941468566043	1.09316512937319e-11	4.6630309199556e-09
"ENSG00000109846.7"	-6.34809521422982	7.76246888037597	1.09342206212875e-11	4.6630309199556e-09
"ENSG00000141905.17"	9.45440542457956	4.0554473391862	1.11505421937814e-11	4.71208996579545e-09
"ENSG00000067225.17"	-4.97976192369589	5.66280726186385	1.12166709078676e-11	4.71208996579545e-09
"ENSG00000100342.20"	5.78170120359596	5.30986888495788	1.26654187961978e-11	5.28129200218049e-09
"ENSG00000101323.4"	8.91433524566085	6.4448757562559	1.50636340303578e-11	6.23512610640389e-09
"ENSG00000170509.11"	13.2699761271319	7.83524941840858	1.57419447369766e-11	6.46833062101184e-09
"ENSG00000167644.11"	-7.43790279249621	4.7508131690299	1.63875134619385e-11	6.68479924139783e-09
"ENSG00000156006.4"	7.04485571636465	5.376691557604	1.67391036190939e-11	6.77909611532125e-09
"ENSG00000158764.6"	-9.94068285653171	4.56450025355818	1.69640009515392e-11	6.82110361117855e-09
"ENSG00000186115.12"	9.59147930942395	4.18906650219795	1.88817637258589e-11	7.53837677602676e-09
"ENSG00000247134.6"	-5.87621599441763	5.78850893476086	2.11923658313057e-11	8.40128063198374e-09
"ENSG00000125848.9"	-4.91550272275295	7.67874309518035	2.30923899178897e-11	9.09048885068367e-09
